'ModifiedCartan.subsequence_comp' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.dominant_subsequence' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.cclass_subsequence' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.cpartition_subsequence' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.quotient_bounded_refl' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.quotient_bounded_trans' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.dominant_change_index' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.dominant_iff_reverse_quotient_bounded' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.compactConvergence_locallyBounded' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.compactConvergence_holomorphic' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.compactConvergence_deriv' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.compactConvergence_iteratedDeriv' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.compactConvergence_jet_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.convex_open_sdiff_countable_joined' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.convex_open_sdiff_countable_preconnected' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.holomorphic_zeros_finite_closedDisk' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.holomorphic_nonzero_convex_preconnected' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.derivative_quotient_recurrence' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.holomorphic_nonzero_codiscrete_circle' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.derivative_quotient_proximity_recurrence' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.diskAutomorphism_eq_blaschke' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.diskAutomorphism_denominator_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.diskAutomorphism_analytic' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.diskAutomorphism_mem_disk' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.diskAutomorphism_involutive' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.diskAutomorphism_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.diskAutomorphism_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.diskAutomorphism_maps_onto' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.diskAutomorphism_hasDerivAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.hyperbolicDistance_eq_automorphism' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.hyperbolicDistance_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.hyperbolicDistance_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.hyperbolicDistance_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.hyperbolicRadialCoordinate_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.hyperbolicDistance_opposite' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.disk_pseudodiameter' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.disk_hyperbolicDiameter' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.hyperbolicRadialCoordinate_continuousAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.disk_hyperbolicDiameter_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.diskAutomorphism_continuousAt_pair' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.diskSegmentMap_joint_continuousAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.diskSegmentMap_uniform_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.disk_segment_harmonic_comparison' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.scaledDiskSegment_joint_continuousAt' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.scaledDiskSegment_compactConvergence' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.exists_dominancePartition' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.mem_assignmentPart' depends on axioms: [propext, Classical.choice, Quot.sound]
'ModifiedCartan.assignmentPart_disjoint' depends on axioms: [propext, Classical.choice, Quot.sound]
